Date,Inflation Value,Stock Volume FB,Stock Volume Amazon,Stock Volume Google,Stock Volume Apple,Stock Volume Netflix
1/31/22,0.008414574,21579470,78307440,34055560,115541600,20047450
2/28/22,0.009133979,34239800,57683420,29675680,95056630,5035046
3/31/22,0.01335138,24192270,59965780,29516320,103049300,4134720
4/30/22,0.005582531,49193430,272661800,33693100,131747600,16391890
5/31/22,0.011023524,26131100,144634160,51301920,103718400,11398460
6/30/22,0.013736076,35250610,97679400,38046040,98964470,7894710
7/31/22,-0.000118119,42065400,148892900,31336180,101786900,9064937
8/31/22,-0.000354399,40952980,53648700,25897980,87991090,8615906
9/30/22,0.002150785,33166390,59479590,26277830,124925300,11848610
10/31/22,0.004056494,121361400,99251400,29868710,97943170,7505133
11/30/22,-0.001010026,43348560,102805800,39888070,111380900,16070120
12/31/22,-0.003070091,19583830,62401190,19190300,77034210,7566892